segment,horizon,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,1,candidate_overlay_survival,cnyusd,709,0.0017307685637776916,0.001171136359351666,0.4978843441466855,0.12140327758041199,0.0017404711193366753,0.0055746719673702705
oos_all,1,candidate_overlay_survival,krwusd,709,0.0057850223352769355,0.004238496575138475,0.5557122708039492,0.22660748130461722,0.005914107278153399,0.021826615041851016
oos_all,1,candidate_overlay_survival,eurusd,709,0.004216163601824262,0.003097950215716719,0.5190409026798307,0.10750884794188573,0.004240076093967115,0.005639637500109207
oos_all,1,candidate_overlay_survival,sp500,709,0.009522462694518414,0.006591831645047014,0.5289139633286318,0.021687949680253595,0.009453792059832839,-0.007263819031660512
oos_all,1,candidate_overlay_survival,vix,709,1.8732573757470228,1.0465587564579812,0.5275035260930888,0.11034778868160491,1.8765260566949247,0.0017418787957886872
oos_all,1,candidate_overlay_survival,us2y,709,0.0578428423208134,0.043226308873209544,0.4682651622002821,-0.008120699719343748,0.05741641901369046,-0.00742685305785562
oos_all,1,candidate_overlay_survival,us10y,709,0.055375780005644575,0.04323224086125933,0.4767277856135402,-0.024858716451167655,0.055288517185001204,-0.0015783172544017177
oos_all,1,candidate_overlay_survival,wti,709,2.1457615566060717,1.3854562111654227,0.5063469675599436,-0.0034558006083223913,2.150582376292106,0.0022416345168539964
oos_all,1,candidate_overlay_survival,brent,709,0.026523635755251292,0.01825153542908166,0.5472496473906912,0.09308344461252605,0.026955646945462947,0.016026741672559575
oos_all,1,candidate_overlay_survival,henry_hub,709,0.11261730580158033,0.05517306642951117,0.5007052186177715,0.03613781602101128,0.11333288487814938,0.006313958012614029
oos_all,1,candidate_overlay_adaptive,audusd,709,0.00557084250087071,0.004246198598986328,0.5430183356840621,0.30093089813050267,0.005845024471019468,0.04690860945205533
oos_all,1,candidate_overlay_adaptive,brlusd,709,0.0070135122541708575,0.005336509152398984,0.4936530324400564,0.06904275475600997,0.007030130734639228,0.002363893517155602
oos_all,1,candidate_overlay_adaptive,cnyusd,709,0.0017316068859663828,0.001171254410833546,0.49647390691114246,0.11517565988512282,0.0017404711193366753,0.005093008020535694
oos_all,1,candidate_overlay_adaptive,krwusd,709,0.005775890228625046,0.004227194555916375,0.5613540197461213,0.23107552075462617,0.005914107278153399,0.02337073763252895
oos_all,1,candidate_overlay_adaptive,eurusd,709,0.004209990576654031,0.0030976332081205154,0.5246826516220028,0.11123376148112592,0.004240076093967115,0.007095513534743025
oos_all,1,candidate_overlay_adaptive,sp500,709,0.009514359705724383,0.0065689559475536445,0.53737658674189,0.011431734364682136,0.009453792059832839,-0.006406703839920924
oos_all,1,candidate_overlay_adaptive,vix,709,1.8688732534139652,1.0434053776523855,0.5317348377997179,0.12687017098797065,1.8765260566949247,0.004078175868465261
oos_all,1,candidate_overlay_adaptive,us2y,709,0.05772780380116066,0.043224367763082285,0.45557122708039494,-0.017352915710618845,0.05741641901369046,-0.005423270778972755
oos_all,1,candidate_overlay_adaptive,us10y,709,0.05514579168237484,0.043062193080345035,0.48801128349788436,-0.010205866283347681,0.055288517185001204,0.0025814673623600903
oos_all,1,candidate_overlay_adaptive,wti,709,2.145275148638007,1.3838294438189864,0.5077574047954866,-0.0027392588422260433,2.150582376292106,0.002467809516438657
oos_all,1,candidate_overlay_adaptive,brent,709,0.026490007042381705,0.018226380810145392,0.5472496473906912,0.09836072284783676,0.026955646945462947,0.01727429892605925
oos_all,1,candidate_overlay_adaptive,henry_hub,709,0.11261633861597929,0.05507111743098831,0.4922425952045134,0.032156176787721806,0.11333288487814938,0.0063224920369802096
oos_all,1,online_fixed_share,audusd,709,0.00557084250087071,0.004246198598986328,0.5430183356840621,0.30093089813050267,0.005845024471019468,0.04690860945205533
oos_all,1,online_fixed_share,brlusd,709,0.007026058228869455,0.005348686833292072,0.4908321579689704,0.057901397282848474,0.007030130734639228,0.0005792930350081438
oos_all,1,online_fixed_share,cnyusd,709,0.0017284719695307704,0.0011685618648188823,0.49506346967559944,0.12420805499611763,0.0017404711193366753,0.0068941964463494765
