source,target,selection_frequency,mean_strength,latest_strength,sign_stability
pw_bab_el_mandeb_strait_capacity_z,pw_cape_of_good_hope_capacity_z,0.0,0.005076399041825317,0.015894859394224088,
pw_strait_of_hormuz_n_total_z,henry_hub,0.0,0.0050497716505322685,0.01521467489652362,
audusd,brlusd,0.0,0.00495770272457868,0.005604970986148987,
pw_panama_canal_capacity_z,pw_malacca_strait_capacity_z,0.0,0.004956227183636321,0.008669819803773262,
pw_panama_canal_capacity_z,pw_bab_el_mandeb_strait_capacity_z,0.0,0.004789834508879262,0.00167329976943263,
pw_strait_of_hormuz_capacity_z,pw_malacca_strait_capacity_z,0.0,0.004762284023235088,0.028405204840907347,
pw_bab_el_mandeb_strait_capacity_z,audusd,0.0,0.0046000462967487245,0.0,
us2y,brent,0.0,0.0045354384116493025,0.0,
pw_panama_canal_n_total_z,pw_cape_of_good_hope_n_total_z,0.0,0.004500920078493733,0.011411817536817345,
pw_panama_canal_n_total_z,pw_bab_el_mandeb_strait_capacity_z,0.0,0.004491966861588332,0.0,
pw_panama_canal_capacity_z,pw_cape_of_good_hope_n_total_z,0.0,0.004484560660984286,0.0,
vix,krwusd,0.0,0.004365311006021736,0.01119153287955724,
eurusd,pw_panama_canal_capacity_z,0.0,0.004259566542858138,0.0,
pw_malacca_strait_capacity_z,krwusd,0.0,0.0042522007608612,0.0,
pw_panama_canal_n_total_z,audusd,0.0,0.004164732847194524,0.006371741380119739,
pw_suez_canal_capacity_z,pw_strait_of_hormuz_n_total_z,0.0,0.004152420493872194,0.0,
henry_hub,sp500,0.0,0.004132939183400918,0.013331978051029062,
pw_malacca_strait_n_total_z,sp500,0.0,0.004083009756063337,0.003182668135824071,
henry_hub,brent,0.0,0.004023985636380414,0.0,
pw_malacca_strait_n_total_z,brent,0.0,0.003946334897545512,0.0,
pw_cape_of_good_hope_capacity_z,us10y,0.0,0.0038580785134530358,0.0,
sp500,us2y,0.0,0.0036509460268608937,0.0,
pw_suez_canal_capacity_z,pw_cape_of_good_hope_n_total_z,0.0,0.00364302257659346,0.020788737168695105,
audusd,brent,0.0,0.0033815661562159923,0.00040482595731441485,
us10y,wti,0.0,0.0032857851840883243,0.00460327663331842,
eurusd,cnyusd,0.0,0.003255951130088366,0.0,
pw_suez_canal_capacity_z,pw_malacca_strait_capacity_z,0.0,0.0031715048048343705,0.0,
pw_malacca_strait_n_total_z,audusd,0.0,0.0031459470494598954,0.0,
audusd,us10y,0.0,0.00313885914596649,0.0,
henry_hub,audusd,0.0,0.003088346938084583,0.0,
pw_strait_of_hormuz_capacity_z,pw_malacca_strait_n_total_z,0.0,0.0029280428550914777,0.019031544559196277,
krwusd,henry_hub,0.0,0.002862216525449432,0.003878133210834423,
pw_malacca_strait_capacity_z,pw_malacca_strait_n_total_z,0.0,0.002800215094541388,0.01693305881209068,
