variable,n,missing_pct,mean,std,min,max,zero_pct
audusd,1459,0.0,9.663065448032672e-05,0.006554766773669489,-0.04986914656541325,0.030998792017720045,0.008910212474297465
brlusd,1459,0.0,7.449535047651384e-05,0.00914521945608592,-0.04239292774424519,0.04129811757580448,0.00411240575736806
cnyusd,1459,0.0,5.010223413411858e-05,0.002412188635522848,-0.010292118380163862,0.014285003609993296,0.053461274845784786
krwusd,1459,0.0,-6.70877259677643e-05,0.005610198906801159,-0.03131451600329349,0.027282079313859953,0.008910212474297465
eurusd,1459,0.0,6.763348686240533e-05,0.0045667739044670305,-0.01759465814919358,0.02197065184117447,0.009595613433858808
sp500,1459,0.0,0.0006904555263360754,0.010866149815897919,-0.06160907367588031,0.09089490164871528,0.0
vix,1459,0.0,-0.047717614804660746,1.877471722384137,-18.71,15.290000000000003,0.00411240575736806
us2y,1459,0.0,0.0022481151473612063,0.06255985437017902,-0.5699999999999994,0.33999999999999986,0.1706648389307745
us10y,1459,0.0,0.0016997943797121306,0.05770641669761176,-0.30000000000000027,0.28000000000000025,0.07128169979437972
wti,1459,0.0,0.06875257025359832,2.806239316467498,-55.28999999999999,45.89,0.003427004797806717
brent,1459,0.0,0.0012861947114434804,0.033757910635528306,-0.6436989051459641,0.41202250865432344,0.00411240575736806
henry_hub,1459,0.0,0.00018839163552507106,0.09950416511647457,-1.0251032265161193,1.4328143767547834,0.050034270047978065
pw_bab_el_mandeb_strait_capacity_z,1459,0.0,-0.016172794823359454,1.405406345693309,-6.543223992654141,5.413019404394896,0.0
pw_bab_el_mandeb_strait_n_total_z,1459,0.0,0.016972283692736963,1.4274422140128527,-5.9231223162137745,5.152134022605687,0.0
pw_cape_of_good_hope_capacity_z,1459,0.0,0.02847358619140263,1.1665541382679017,-2.951082071509995,3.8811885213819672,0.0
pw_cape_of_good_hope_n_total_z,1459,0.0,0.08390873357715647,1.17154652672306,-6.62484789619179,3.959611327685794,0.0
pw_malacca_strait_capacity_z,1459,0.0,-0.06953465165565874,1.2060899747504463,-4.406718583986137,3.1853996524210997,0.0
pw_malacca_strait_n_total_z,1459,0.0,-0.0659754747106641,1.2570088911346438,-4.258201567806547,3.655945206006536,0.0
pw_panama_canal_capacity_z,1459,0.0,-0.11249545717080245,1.1849669690775926,-4.256578952892742,3.5292354631797687,0.0
pw_panama_canal_n_total_z,1459,0.0,-0.14652948373083408,1.1864956442229118,-6.0095833488157515,3.013370308447663,0.0
pw_strait_of_hormuz_capacity_z,1459,0.0,-0.2484026691427045,1.4146135857185882,-16.27366897705907,4.118678318719642,0.0
pw_strait_of_hormuz_n_total_z,1459,0.0,-0.267128150948794,1.3862681972391782,-11.863747212510672,3.736489672500758,0.0
pw_suez_canal_capacity_z,1459,0.0,-0.0599754514029243,1.4064697192763393,-11.472546489445088,7.19702964108842,0.0
pw_suez_canal_n_total_z,1459,0.0,-0.049829226276745214,1.3779470846519704,-10.522376095671168,6.543202371875844,0.0
