segment,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,full_sparse_var,sp500,709,0.009517268391096208,0.006570724649085556,0.5458392101551481,0.012183089788475756,0.009453792059832876,-0.006714377771543045
oos_all,stability_filtered_full,sp500,709,0.009498880386255055,0.006556203448092484,0.5430183356840621,0.01355049560426049,0.009453792059832876,-0.004769337651686856
oos_all,ar,us10y,709,0.055288517185001246,0.04347779612599974,0.46685472496473907,-0.05154848663323443,0.055288517185001246,0.0
oos_all,financial_sparse_var,us10y,709,0.05514579168237487,0.04306219308034508,0.48801128349788436,-0.010205866283347902,0.055288517185001246,0.0025814673623602014
oos_all,full_sparse_var,us10y,709,0.05530152333120364,0.043215621563768895,0.48801128349788436,-0.038682970243216125,0.055288517185001246,-0.00023524136411312568
oos_all,stability_filtered_full,us10y,709,0.055145008928805264,0.043191851631208485,0.47249647390691113,-0.039602679866753795,0.055288517185001246,0.002595624977891675
oos_all,ar,us2y,709,0.057416419013690496,0.042918185179008014,0.45557122708039494,0.013703230739205258,0.057416419013690496,0.0
oos_all,financial_sparse_var,us2y,709,0.05772198379497951,0.043208603147551,0.459802538787024,-0.01660474120909025,0.057416419013690496,-0.005321905938023619
oos_all,full_sparse_var,us2y,709,0.05774087107822747,0.04319599096801238,0.44851904090267986,-0.011206898484741424,0.057416419013690496,-0.005650858589066887
oos_all,stability_filtered_full,us2y,709,0.057695624861123763,0.04309516411971591,0.45557122708039494,-0.011737674128036503,0.057416419013690496,-0.004862822381289433
oos_all,ar,vix,709,1.8765260566949247,1.0474224868605975,0.5204513399153737,0.10566993937772226,1.8765260566949247,0.0
oos_all,financial_sparse_var,vix,709,1.8688732534139652,1.0434053776523857,0.5317348377997179,0.1268701709879708,1.8765260566949247,0.004078175868465261
oos_all,full_sparse_var,vix,709,1.8712817830594664,1.0451504295505456,0.5218617771509168,0.11741149992936502,1.8765260566949247,0.0027946713645399246
oos_all,stability_filtered_full,vix,709,1.8683175346898995,1.0408500451949845,0.5345557122708039,0.1310390422820265,1.8765260566949247,0.00437431815867384
