horizon,source,target,weighted_selection_frequency,weighted_sign_stability,weighted_mean_strength,latest_strength,strength_retention,n_contributions,weighted_mean_loss_improvement,contribution_hit_rate,contribution_t_stat,survival_score
1,pw_panama_canal_capacity_z,brent,0.030270926236191535,1.0,0.0045894084555890505,0.010269577939555886,2.2376691983145323,120,5.147424361275563e-06,0.595776755580483,1.2693252746987354,0.016989692006554695
1,pw_suez_canal_n_total_z,eurusd,0.10729225465151573,1.0,0.026604172941838283,0.018064169746527376,0.678997606353674,100,8.930072720466648e-08,0.5063063180646468,0.1518585774122837,0.005520932799646221
1,pw_bab_el_mandeb_strait_n_total_z,brlusd,0.014883343595761423,1.0,0.02323060154660209,0.01142053913715965,0.491616160444632,20,7.299777871669418e-07,0.5628520253748077,0.2975076876560203,0.0010804582220867811
1,pw_malacca_strait_n_total_z,brent,0.010362484091385321,1.0,0.006896035417871907,0.006996965654668096,1.0146359800494376,40,5.426676074222917e-07,0.48485306260263855,0.08443378869045692,0.00043721218406895363
1,pw_malacca_strait_capacity_z,sp500,0.4650615556994817,1.0,0.035233402746997114,0.0,0.0,400,-2.0452680076892974e-06,0.4890417246531404,-1.4613467689800794,0.0
1,pw_strait_of_hormuz_capacity_z,brent,0.44398558047311143,0.6495385380294099,0.048590042470632006,0.04015477893308278,0.8263993380403499,200,-3.0654875414113634e-06,0.5295572844490295,-0.07572225015577996,0.0
1,pw_strait_of_hormuz_n_total_z,us2y,0.3116343601940163,1.0,0.03034567803664415,0.0,0.0,420,-1.9483603563992818e-05,0.5034092600103206,-0.43547636559443637,0.0
1,pw_strait_of_hormuz_n_total_z,us10y,0.3116343601940163,1.0,0.04001606311697425,0.0,0.0,420,-6.949839956343594e-05,0.4994804765587314,-1.3269900879441192,0.0
1,pw_strait_of_hormuz_capacity_z,us10y,0.2903779359680703,1.0,0.03035861968853133,0.0,0.0,380,-2.990190667634497e-05,0.48880078134502997,-0.8291731326096677,0.0
1,pw_strait_of_hormuz_capacity_z,krwusd,0.23699266355705084,0.9817556338189468,0.029915723250394783,0.0,0.0,240,-3.568871141890947e-07,0.4215856075371303,-1.0389885875606448,0.0
1,pw_strait_of_hormuz_capacity_z,us2y,0.22281707117053856,0.9554188552731601,0.031049131571830212,0.005371666901703916,0.1730053830741418,340,-4.633804187276169e-05,0.4079468107956246,-1.2478314316802714,0.0
1,pw_malacca_strait_n_total_z,us10y,0.20288095125920655,1.0,0.025709632376317484,0.0,0.0,340,-1.9779565469689087e-05,0.4589665717428082,-0.4209776305968543,0.0
1,pw_malacca_strait_capacity_z,brlusd,0.18863147152945695,1.0,0.028260942777452416,0.0,0.0,220,-4.3487654110541324e-07,0.48539656777924195,-0.5853416497061901,0.0
1,pw_strait_of_hormuz_n_total_z,brent,0.18465709123494375,0.9608484267305405,0.020532909521382994,0.0,0.0,300,-4.1663362118492644e-06,0.4894748755367662,-1.2867580322021672,0.0
1,pw_malacca_strait_capacity_z,krwusd,0.18133603955368938,1.0,0.030512663474631135,0.001243916818826278,0.040767231607312694,340,-4.0244295133036287e-07,0.41316729098239313,-0.6004352776971711,0.0
1,pw_malacca_strait_capacity_z,cnyusd,0.15725090282711554,1.0,0.025193244813663404,0.0003027086032334179,0.012015467061600804,320,-1.4474147859016478e-08,0.47139430708643304,-0.30673955555136573,0.0
1,pw_cape_of_good_hope_capacity_z,sp500,0.13612146731807356,1.0,0.04111722892846517,0.0016782243423563957,0.040815599350727955,300,-1.3068671455422337e-06,0.4475077142289876,-0.473597496176259,0.0
1,pw_cape_of_good_hope_capacity_z,wti,0.11765625590402431,1.0,0.022784245649477744,0.0,0.0,280,0.0009017347368937535,0.4692157090051613,0.023470370446774212,0.0
1,pw_strait_of_hormuz_n_total_z,audusd,0.10107843680609499,1.0,0.012728369395001434,0.0,0.0,260,-5.069605772399304e-07,0.47695992825509254,-0.9090838439341281,0.0
1,pw_malacca_strait_capacity_z,vix,0.09426765251245818,1.0,0.026748921025738157,0.0,0.0,240,-0.09249295673384482,0.4268235525932344,-2.091947529121615,0.0
1,pw_malacca_strait_n_total_z,eurusd,0.09193861048890352,0.5654051055410381,0.020389541539836315,0.008003827666081641,0.39254573970896134,220,-1.7591350232388763e-07,0.49295053682358303,-0.674384748441324,0.0
1,pw_strait_of_hormuz_n_total_z,eurusd,0.08802156059917755,1.0,0.014852667074512918,0.0,0.0,240,-5.030865716085431e-07,0.42586536082497517,-1.5340466849361865,0.0
1,pw_bab_el_mandeb_strait_n_total_z,henry_hub,0.08619509321033357,1.0,0.02523339474465008,0.008518744872337738,0.3375980504622297,240,-0.0022422801421116936,0.3692753796639087,-3.5268028428202594,0.0
1,pw_cape_of_good_hope_capacity_z,audusd,0.08619509321033357,1.0,0.013624321877931073,0.0,0.0,240,-5.231554438749798e-07,0.4996200408411215,-1.087061814805972,0.0
1,pw_cape_of_good_hope_n_total_z,vix,0.08619509321033357,1.0,0.008457616380341112,0.0,0.0,240,-0.006935098378157663,0.5528264401593396,-0.19139838920794666,0.0
1,pw_cape_of_good_hope_n_total_z,sp500,0.07706518570823602,1.0,0.007722719803112108,0.0,0.0,160,-3.1519716687095826e-06,0.49558172032505343,-1.7180417212544097,0.0
1,pw_cape_of_good_hope_capacity_z,henry_hub,0.07313821700341613,1.0,0.009992997424429337,0.0,0.0,220,-0.00021243436341499203,0.43586282526952547,-1.6866452699699424,0.0
1,pw_panama_canal_capacity_z,cnyusd,0.07313821700341613,1.0,0.015044075141023322,0.0,0.0,220,-6.317359231574816e-08,0.39634027531913857,-0.8228233212152526,0.0
1,pw_suez_canal_capacity_z,sp500,0.07127984677355668,1.0,0.008497001751239424,0.005164712421890575,0.6078276282733752,200,-1.3711654084864624e-06,0.41646086948049965,-1.0366733679238167,0.0
1,pw_strait_of_hormuz_n_total_z,cnyusd,0.06616810267732946,1.0,0.007555029999013792,0.0,0.0,200,-3.58831962601743e-08,0.45052973298210647,-1.044925694290759,0.0
1,pw_strait_of_hormuz_capacity_z,wti,0.06479672474576502,1.0,0.02044518936643182,0.02173623236917517,1.06314654169274,20,-0.2914270525531065,0.49891779296846045,-0.1783610419515579,0.0
1,pw_cape_of_good_hope_capacity_z,vix,0.061815232874934484,1.0,0.008437182318941009,0.0,0.0,200,-0.005509785670240877,0.46879474335609195,-0.23424058509762347,0.0
1,pw_malacca_strait_n_total_z,audusd,0.061815232874934484,0.5540384233744994,0.009497115267039793,0.004849448542703558,0.5106233215399425,200,-5.422874517525617e-07,0.44332194999024865,-1.283538005952086,0.0
1,pw_panama_canal_capacity_z,eurusd,0.061815232874934484,1.0,0.009236490512649995,0.007049275248802683,0.7631984506613444,200,-2.758777472787732e-07,0.4492998607459101,-0.8524802168665093,0.0
1,pw_strait_of_hormuz_capacity_z,henry_hub,0.061815232874934484,1.0,0.007964916400272094,0.0,0.0,200,-1.642893759289085e-05,0.5100144741163272,-0.07544185695959167,0.0
