horizon,source,target,weighted_selection_frequency,weighted_sign_stability,weighted_mean_strength,latest_strength,strength_retention,n_contributions,weighted_mean_loss_improvement,contribution_hit_rate,contribution_t_stat,survival_score
1,us2y,cnyusd,1.0,1.0,0.10540404813950958,0.09764342010114405,0.9263725807941094,709,4.663483266433663e-08,0.5268829914359427,1.1250535636081105,0.4723108694530278
1,brent,vix,0.8646061075904167,1.0,0.06300420373591041,0.06363259147143618,1.0099737429927649,629,0.03238235252947899,0.4539698545693366,1.086814512230804,0.4284666218657931
1,sp500,audusd,1.0,1.0,0.20930513096650027,0.21038302900561465,1.0051498882714294,709,7.698535836764644e-07,0.498463232034378,0.588160152723305,0.2858857760720834
1,wti,brent,1.0,1.0,0.3234645274021106,0.2606094197792903,0.8056816055607766,709,4.9589514596522664e-05,0.5141452945018269,0.7065318528014524,0.2733425890785887
1,sp500,cnyusd,1.0,1.0,0.1019024621182661,0.094388418231831,0.9262623912097978,709,1.525958250730351e-08,0.4874423332727172,0.48869453899394805,0.2219303402123041
1,brent,wti,0.87954279112872,0.5527751563907735,0.06847988731323443,0.07591825026773324,1.1086211330996347,669,0.06201551085682731,0.5287743778649397,0.9510622399147165,0.21521538885245833
1,us2y,eurusd,1.0,0.9983957905468942,0.06802058450277004,0.06071285526119426,0.8925659152299965,709,5.087274931818444e-08,0.5367006616545199,0.4377686638655181,0.19199878784235222
1,sp500,eurusd,1.0,1.0,0.14313734835004,0.1378097989908328,0.962780158912971,709,1.4039385148101172e-07,0.5303314145996295,0.38832703303285876,0.18462253412581306
1,audusd,eurusd,0.9983957905468942,0.8828848339700472,0.07232743871521743,0.07214883602431443,0.9975306371402666,689,3.284953436525248e-08,0.4962883680316768,0.32699737446599497,0.1424955957261639
1,audusd,wti,0.495864440842634,1.0,0.049369937328532995,0.030159455852817794,0.6108870597124975,560,0.039271330351753925,0.5007176037498883,0.9520515741319568,0.13420901469777546
1,pw_suez_canal_n_total_z,henry_hub,0.016649442432068205,1.0,0.0039627950561650005,0.001129746991155577,0.28508842247544613,140,0.00011369156606820161,0.5622340909004843,0.7553141850767685,0.00171194800179445
1,us10y,cnyusd,0.010320143442505555,1.0,0.0036864170856785346,0.0026114087258581674,0.7083866706247924,100,3.637829599062984e-08,0.47796823527004156,0.3299882266022637,0.0011953868274758156
1,audusd,us2y,0.0038904443354481322,1.0,0.00985249937019182,0.011271515170849756,1.1440259722270154,40,5.589368221485752e-05,0.5524668454893161,0.6254922979652153,0.0011785451652683886
1,pw_suez_canal_capacity_z,brlusd,0.008715933989399705,1.0,0.03002763172687847,0.023842876806572964,0.7940312117665483,80,8.179476256627019e-08,0.5582242768890886,0.13058864720331073,0.0004512428816832032
1,brent,us10y,0.002606045945085105,1.0,0.03872284713991617,0.031070968557440685,0.8023936991299435,20,9.526109637754123e-06,0.39759815730182035,0.2345888552413925,0.0002441527696019705
1,cnyusd,us10y,1.0,1.0,0.0636107784053368,0.05756678004116986,0.9049846815950948,709,-1.443203869836703e-05,0.4840188602367816,-1.2584436541836035,0.0
1,eurusd,krwusd,1.0,1.0,0.1417536762259719,0.12934015757587206,0.9124289473077845,709,-9.326974384701078e-07,0.45629649065497807,-1.293292720285632,0.0
1,eurusd,sp500,1.0,1.0,0.08793904413137864,0.08081802522746814,0.9190232396286696,709,-2.6667988963538866e-07,0.48193138249187273,-0.29514791196438966,0.0
